Nrun	ID	Time	Size	A	B	Width	Length	Dis	Miss	Azwidth	Alpha
1	003090	15:59:17,285.774.730	121	-0.273	-3.985	1.349	2.412	13.722	3.845	2.281	0.284
1	003119	15:59:17,466.358.900	484	-0.071	-23.588	3.031	16.728	26.644	23.529	211.658	1.082
1	003122	15:59:17,478.292.530	346	-2.602	25.926	3.711	10.389	32.747	9.301	20.269	0.288
1	003146	15:59:17,620.018.570	87	1.292	-39.055	1.135	1.692	25.196	23.899	3.154	1.249
1	003181	15:59:17,752.054.540	153	-0.687	-20.146	0.888	2.229	29.133	16.602	2.698	0.606
1	003239	15:59:18,062.061.530	63	-1.061	4.744	0.969	2.214	3.341	3.255	4.910	1.344
1	003248	15:59:18,102.720.960	228	1.019	-39.438	1.431	3.887	28.999	27.629	18.607	1.262
1	003255	15:59:18,140.581.740	63	0.181	-15.675	0.891	2.182	22.835	15.424	3.013	0.742
1	003294	15:59:18,330.716.470	84	1.463	1.105	1.320	2.719	6.809	0.624	2.417	0.092
1	003320	15:59:18,498.132.180	211	-2.007	24.617	2.218	11.089	28.558	10.977	44.256	0.395
1	003326	15:59:18,517.530.190	133	0.087	15.111	1.408	3.204	30.497	15.055	5.470	0.516
1	003332	15:59:18,543.921.630	54	2.342	-13.590	1.021	20.404	15.900	5.336	44.597	0.342
1	003344	15:59:18,620.831.240	128	1.002	-9.087	0.924	2.555	19.917	6.421	1.399	0.328
1	003350	15:59:18,629.824.100	1336	1.504	-37.945	1.777	5.319	30.484	21.011	33.382	0.760
1	003361	15:59:18,694.770.470	149	13.624	221.213	1.109	1.738	16.216	16.194	4.500	1.518
1	003445	15:59:19,068.406.090	105	0.099	-11.742	0.980	3.097	20.054	11.685	4.442	0.622
1	003464	15:59:19,137.538.800	268	0.517	34.762	0.997	2.085	31.060	30.877	7.299	1.462
1	003490	15:59:19,255.930.390	233	-2.645	27.748	2.323	11.774	31.600	9.813	29.278	0.316
1	003510	15:59:19,364.978.760	46	-0.778	10.186	1.527	9.660	20.620	8.038	16.582	0.400
1	003512	15:59:19,370.107.700	14043	0.745	-42.719	1.762	2.488	34.617	34.264	15.515	1.428
1	003516	15:59:19,397.616.420	218	-0.536	-14.917	1.307	3.511	19.559	13.149	9.146	0.737
1	003530	15:59:19,455.698.800	77	0.534	-1.024	0.153	12.986	6.397	0.903	2.589	0.142
1	003539	15:59:19,492.195.950	85	-0.053	-18.603	1.144	2.015	23.614	18.577	4.296	0.905
1	003553	15:59:19,554.444.800	526	14.396	-123.213	1.278	4.090	17.366	8.538	9.240	0.514
1	003564	15:59:19,576.337.650	192	0.372	-27.498	1.653	3.059	26.472	25.776	9.879	1.341
1	003585	15:59:19,685.406.780	357	0.302	-5.453	1.814	2.623	26.917	5.220	5.551	0.195
1	003606	15:59:19,826.510.060	495	4.745	-51.442	1.744	2.924	12.206	10.609	11.892	1.053
1	003624	15:59:19,917.074.020	187	-0.440	-24.071	1.375	3.609	25.294	22.034	10.041	1.057
1	003635	15:59:19,971.197.740	52	0.903	-25.763	1.027	1.867	19.190	19.124	4.849	1.488
1	003702	15:59:20,272.016.370	211	1.717	-18.801	1.058	3.093	20.571	9.462	3.954	0.478
